CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-26 00:45:00,0.0,2381.0,0.0,25.0,384336000.0,497936000.0,26.0,46.0,37.833333333333336,180040906.65976042,179712580.59054795,197407.29149207246,196759.1270845139
2018-08-26 01:00:00,1.0,2323.0,0.0,24.0,384328000.0,497944000.0,26.0,46.0,37.833333333333336,174131236.3495422,173675317.0266273,190738.45173544137,189785.5339092696
2018-08-26 01:15:00,6.0,2269.0,2.0,24.0,384336000.0,497932000.0,26.0,46.0,37.833333333333336,168770521.41499114,168474681.96812478,185503.05800247437,184910.31104313352
2018-08-26 01:30:00,3.0,2229.0,2.0,23.0,384336000.0,497936000.0,26.0,46.0,37.833333333333336,161913812.12445647,161565177.4542705,178016.5298989467,177394.71338626224
2018-08-26 01:45:00,1.0,2186.0,0.0,24.0,384324000.0,497940000.0,26.0,46.0,37.833333333333336,151797997.64922267,151703908.184496,165944.76320084857,165415.93221551838
2018-08-26 02:00:00,0.0,2141.0,0.0,22.0,384320000.0,497952000.0,26.0,46.0,37.833333333333336,146917332.7038182,146718059.7905198,160570.1778922136,159839.00911210827
2018-08-26 02:15:00,0.0,2127.0,3.0,23.0,384332000.0,497940000.0,26.0,46.0,37.833333333333336,143774829.4125083,143667579.3560089,157023.48243559067,156510.71444137333
2018-08-26 02:30:00,4.0,2098.0,0.0,23.0,384320000.0,497952000.0,26.0,46.0,37.833333333333336,139945178.73782843,139934589.45234433,152921.6551344919,152525.95359203656
2018-08-26 02:45:00,2.0,2079.0,0.0,22.0,384304000.0,497968000.0,26.0,46.0,37.833333333333336,136588292.626625,136439032.25830087,149276.01044869274,148750.46547789854
2018-08-26 03:00:00,1.0,2072.0,0.0,22.0,384320000.0,497952000.0,26.0,46.0,37.833333333333336,133522598.01460835,133331824.10589054,145684.9098202914,145130.98876879655
2018-08-26 03:15:00,0.0,2070.0,0.0,23.0,384316000.0,497956000.0,26.0,46.0,37.833333333333336,133821224.28756045,133602296.41785759,145254.11222906277,144725.44702487235
2018-08-26 03:30:00,0.0,2054.0,0.0,23.0,384308000.0,497960000.0,26.0,46.0,37.833333333333336,125728105.09668396,125523408.36270586,138399.22024146788,137922.29679425593
2018-08-26 03:45:00,1.0,2045.0,0.0,22.0,384312000.0,497960000.0,26.0,46.0,37.833333333333336,120911468.60652679,120851555.49145465,132684.01765121825,132386.93142129932
2018-08-26 04:00:00,1.0,2027.0,0.0,24.0,384312000.0,497952000.0,26.0,46.0,37.833333333333336,116989063.30130464,116907021.81285027,128158.54971082076,127762.21231496848
2018-08-26 04:15:00,3.0,2034.0,0.0,23.0,384256000.0,498012000.0,26.0,46.0,37.833333333333336,118272820.68607038,118186742.19898611,129405.52106224866,128966.84881947175
2018-08-26 04:30:00,0.0,2027.0,0.0,21.0,384256000.0,498012000.0,26.0,46.0,37.833333333333336,114509719.86324745,114444554.73476653,126002.55901703461,125587.07351672818
2018-08-26 04:45:00,1.0,2027.0,1.0,21.0,384256000.0,498012000.0,26.0,46.0,37.833333333333336,114249005.19060536,114182212.92630598,125397.89965608227,125044.79704634043
2018-08-26 05:00:00,0.0,2019.0,0.0,22.0,384252000.0,498016000.0,26.0,46.0,37.833333333333336,113842819.81515183,113772569.10250925,125512.9670241952,125165.64262876079
2018-08-26 05:15:00,0.0,2019.0,1.0,21.0,384256000.0,498004000.0,26.0,46.0,37.833333333333336,112329914.42541969,112230515.15838568,123713.36797667692,123378.99661593833
2018-08-26 05:30:00,2.0,2014.0,0.0,24.0,384200000.0,498068000.0,26.0,46.0,37.833333333333336,113703538.09878896,113669660.65168923,125337.62120443126,125026.21487873365
2018-08-26 05:45:00,1.0,2032.0,1.0,22.0,384204000.0,498064000.0,26.0,46.0,37.833333333333336,114201568.80560566,114162255.39887817,126159.26269331522,125762.33223720787
2018-08-26 06:00:00,2.0,2039.0,0.0,23.0,384208000.0,498060000.0,26.0,46.0,37.833333333333336,116442218.7006207,116423111.29188222,128712.67955770456,128418.04358840246
2018-08-26 06:15:00,0.0,2046.0,1.0,22.0,384188000.0,498076000.0,26.0,46.0,37.833333333333336,119245386.17127608,118857488.63197814,132029.51383835715,130822.92521051958
2018-08-26 06:30:00,0.0,2081.0,2.0,22.0,384208000.0,498060000.0,26.0,46.0,37.833333333333336,121903630.5030323,121898126.70694609,134725.82070118914,134354.38633276903
2018-08-26 06:45:00,0.0,2108.0,0.0,22.0,384200000.0,498068000.0,26.0,46.0,37.833333333333336,122522932.49876608,122508761.59061006,135796.94370976143,135415.11156626258
2018-08-26 07:00:00,1.0,2137.0,2.0,22.0,384188000.0,498076000.0,26.0,46.0,37.833333333333336,124053606.46980475,123939980.04157394,136903.61861379485,136404.38005700422
2018-08-26 07:15:00,0.0,2179.0,0.0,21.0,384184000.0,498076000.0,26.0,46.0,37.833333333333336,131170003.05729553,131105940.26191002,145001.4909196438,144605.0159826229
2018-08-26 07:30:00,2.0,2213.0,2.0,23.0,383928000.0,498332000.0,26.0,46.0,37.833333333333336,134133074.68168886,134143839.84503646,148126.74021924697,147779.43970918606
2018-08-26 07:45:00,2.0,2271.0,0.0,23.0,383920000.0,498348000.0,26.0,46.0,37.833333333333336,135526772.31551164,135540573.2970957,150351.2561085347,150080.05275000952
2018-08-26 08:00:00,1.0,2344.0,4.0,23.0,383924000.0,498336000.0,26.0,46.0,37.833333333333336,138484896.51764378,138400310.97717962,154691.0068410455,154201.84022955666
2018-08-26 08:15:00,0.0,2398.0,1.0,24.0,383792000.0,498472000.0,26.0,46.0,37.833333333333336,145916518.40111944,145773410.2474814,161763.22552475706,161195.71792292123
2018-08-26 08:30:00,1.0,2474.0,0.0,25.0,383644000.0,498616000.0,26.0,46.0,37.833333333333336,145129396.9830625,145081188.26982257,161435.0246591281,160920.0126621559
2018-08-26 08:45:00,1.0,2513.0,0.0,26.0,383668000.0,498584000.0,26.0,46.0,37.833333333333336,149256559.52777904,149130221.0587379,166151.20749901526,165583.92060584755
2018-08-26 09:00:00,1.0,2578.0,0.0,26.0,383640000.0,498616000.0,26.0,46.0,37.833333333333336,154602966.6453825,154427043.0488452,171993.73393137628,171346.0794793678
2018-08-26 09:15:00,3.0,2663.0,1.0,25.0,383648000.0,498604000.0,26.0,46.0,37.833333333333336,157435615.11314467,157284103.06380582,175625.19151946242,174895.82046506592
2018-08-26 09:30:00,2.0,2745.0,0.0,26.0,383640000.0,498600000.0,26.0,46.0,37.833333333333336,159030507.34577557,158866511.19568643,178139.5163896731,177426.8068991699
2018-08-26 09:45:00,2.0,2818.0,1.0,27.0,383628000.0,498620000.0,26.0,46.0,37.833333333333336,165270016.2915941,165116746.92090005,185051.1663693992,184387.40292263695
2018-08-26 10:00:00,4.0,2839.0,0.0,29.0,383636000.0,498604000.0,26.0,46.0,37.833333333333336,169216120.37495372,169016208.56976187,189952.42268105663,189144.23808241676
2018-08-26 10:15:00,1.0,2916.0,0.0,27.0,383620000.0,498616000.0,26.0,46.0,37.833333333333336,177123153.20982662,176861879.98824987,198806.09248411763,197972.06885106768
2018-08-26 10:30:00,2.0,2998.0,1.0,29.0,383620000.0,498604000.0,26.0,46.0,37.833333333333336,182867020.91313082,182582480.1686253,205961.71678676578,205053.01588758675
2018-08-26 10:45:00,2.0,3069.0,2.0,28.0,383608000.0,498628000.0,26.0,47.0,38.0,177166727.35767347,177019849.42052168,199906.983018249,199180.29282532353
2018-08-26 11:00:00,0.0,3109.0,1.0,29.0,383332000.0,498904000.0,26.0,47.0,38.0,187399685.22878274,187112042.68141076,209356.0024623174,208576.01032339176
2018-08-26 11:15:00,2.0,3143.0,0.0,29.0,383324000.0,498908000.0,26.0,47.0,38.0,194015356.93008852,193541523.15446052,218264.46563987937,217410.2232780717
2018-08-26 11:30:00,0.0,3238.0,1.0,29.0,383292000.0,498924000.0,26.0,46.0,37.833333333333336,199522240.51413673,199108472.15601885,223014.5548308395,222247.33807015995
2018-08-26 11:45:00,3.0,3322.0,1.0,30.0,383072000.0,499156000.0,26.0,46.0,37.833333333333336,202445123.94724956,202036735.33485717,228704.60330346867,227795.73099004815
2018-08-26 12:00:00,2.0,3341.0,1.0,31.0,383056000.0,499160000.0,26.0,46.0,37.833333333333336,202034484.15781587,201487285.53330633,229474.84789937947,228583.9170913312
2018-08-26 12:15:00,0.0,3320.0,0.0,29.0,383096000.0,499136000.0,26.0,46.0,38.0,202451736.44475842,201969083.22095332,230546.7895359267,229595.78106516437
2018-08-26 12:30:00,1.0,3341.0,1.0,27.0,383028000.0,499200000.0,26.0,46.0,37.833333333333336,207399177.54483312,206866287.47434747,233956.39428973975,232930.80894628746
2018-08-26 12:45:00,4.0,3321.0,1.0,29.0,383020000.0,499204000.0,26.0,46.0,37.833333333333336,212625005.56570616,212226890.21714497,238903.96912805253,238059.0102922142
2018-08-26 13:00:00,1.0,3316.0,0.0,31.0,382860000.0,499360000.0,26.0,46.0,38.0,212125091.0131889,211139077.85368943,237581.65454724836,236111.78293254806
2018-08-26 13:15:00,2.0,3311.0,2.0,30.0,382320000.0,499904000.0,26.0,46.0,37.833333333333336,210663848.2459215,209859760.64828262,235858.9131266473,234734.77518375928
2018-08-26 13:30:00,1.0,3322.0,0.0,29.0,382248000.0,499976000.0,26.0,46.0,37.833333333333336,212322341.99360073,211541092.37628758,237554.0248253869,236563.36461348692
2018-08-26 13:45:00,1.0,3297.0,1.0,26.0,382244000.0,499976000.0,26.0,47.0,38.333333333333336,213551307.55375737,212482864.0995443,238244.2290293371,236797.2693036947
2018-08-26 14:00:00,2.0,3245.0,2.0,26.0,382248000.0,499972000.0,26.0,47.0,38.0,208059925.1968651,207061975.26111725,233263.58953016865,231911.30643749912
2018-08-26 14:15:00,0.0,3218.0,0.0,27.0,382220000.0,500008000.0,26.0,46.0,37.833333333333336,218303501.15226898,217642448.37057194,241775.0635416951,240594.1159136767
2018-08-26 14:30:00,0.0,3205.0,2.0,29.0,382248000.0,499972000.0,26.0,46.0,37.833333333333336,222885744.5901978,222018396.3637731,246888.7292500523,245441.2578297997
2018-08-26 14:45:00,5.0,3175.0,0.0,24.0,382208000.0,500008000.0,26.0,47.0,38.0,226898556.32261088,225845503.9964035,252197.73746921137,250809.12580807033
2018-08-26 15:00:00,0.0,3160.0,0.0,25.0,382232000.0,499980000.0,26.0,46.0,37.833333333333336,223518699.38402373,222757366.5637289,247303.37628447218,246132.96272138797
2018-08-26 15:15:00,1.0,3185.0,1.0,26.0,382208000.0,500012000.0,26.0,47.0,38.0,231277759.6348669,230591563.14441615,255920.1987991146,254755.5934821302
2018-08-26 15:30:00,0.0,3189.0,1.0,26.0,382200000.0,500020000.0,26.0,47.0,38.166666666666664,230013846.85270143,229250331.65167743,253014.33133139228,251837.12287073612
2018-08-26 15:45:00,1.0,3198.0,0.0,28.0,382160000.0,500064000.0,26.0,46.0,37.833333333333336,225512393.88903004,224905059.42325795,247910.439008147,246871.42359076484
2018-08-26 16:00:00,1.0,3209.0,0.0,27.0,382100000.0,500120000.0,26.0,47.0,38.333333333333336,221940668.56719738,221108972.83187428,244146.2369764276,242922.39879619898
2018-08-26 16:15:00,1.0,3196.0,1.0,27.0,381768000.0,500456000.0,26.0,47.0,38.0,222389823.40224212,221069430.55979934,245371.45625497415,243860.94813550607
2018-08-26 16:30:00,2.0,3197.0,2.0,27.0,381768000.0,500456000.0,26.0,47.0,38.5,225155033.9331609,224094073.81913757,247962.64107785013,246686.4133457904
